@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomProjection-M-N32-R40-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
16.212411,-13.702595,-2.635244,3.138876,-1.441134,9.326368,-2.144329,9.866189,-19.81035,-1.617309,1.192139,13.565586,7.949214,-3.909961,7.947008,1.594791,-18.635375,-9.563531,-8.005646,-16.061726,-2.448089,2.405819,8.825994,-1.236378,16.297405,-6.358038,10.421,-3.219714,20.890951,6.488591,8.068035,-12.897219,c-CS-m
15.452207,-13.148188,-2.311167,3.299744,-1.247724,8.877701,-1.930346,9.958146,-18.761202,-1.400931,1.198077,13.349517,7.556958,-4.487001,7.542319,1.421416,-18.04564,-8.913831,-7.748615,-15.157319,-2.425027,2.065204,8.849141,-1.15506,15.416724,-6.502919,9.706077,-3.227616,19.693825,6.497598,7.976645,-12.469559,c-CS-m
15.513589,-12.966725,-2.710483,3.412869,-0.979282,8.974562,-1.874339,10.292849,-18.843615,-1.288795,1.169896,13.379412,7.634295,-4.814531,7.655199,1.099463,-17.917534,-8.958006,-7.693307,-14.943876,-2.27653,2.044258,8.808767,-1.243729,15.830572,-6.746953,10.269897,-3.583456,19.503467,6.81302,8.357395,-12.496991,c-CS-m
12.637422,-12.599592,-2.533427,1.746267,-1.706243,6.90696,-2.678546,9.018103,-17.054377,-2.178629,0.155647,11.666613,5.726422,-3.884638,7.873988,0.685546,-16.385026,-8.024027,-7.571121,-13.141414,-2.044192,2.178705,8.126976,-1.756436,14.022843,-7.827844,8.643536,-2.756822,17.771647,6.238876,7.044618,-10.635353,c-CS-m
12.457427,-12.395118,-2.510362,2.246972,-1.515924,6.697858,-2.736734,9.416331,-16.59485,-1.852453,0.319861,11.656995,5.736514,-4.451809,7.710884,0.666436,-15.790669,-7.796593,-7.365778,-12.342914,-1.995537,1.833104,8.04256,-2.009028,13.555819,-8.107595,8.446008,-3.095171,16.873454,6.478882,7.193552,-10.314494,c-CS-m
12.40757,-11.980789,-2.394413,2.100936,-1.162393,7.146365,-2.527445,9.135622,-16.378686,-1.897318,0.096881,11.485099,5.574994,-4.309353,7.771191,0.16993,-16.078382,-7.511929,-7.552758,-12.471666,-1.873209,1.986673,8.111171,-1.588403,14.147873,-7.95952,8.704006,-2.76278,17.190975,6.688794,7.307441,-10.348714,c-CS-m
11.188889,-11.984581,-2.500028,0.47167,-1.527563,5.286449,-2.616337,8.135249,-15.518219,-2.211017,-0.20317,11.111662,4.843781,-3.585976,7.80538,0.597336,-14.861975,-7.741297,-7.145662,-11.453512,-1.871171,1.867305,7.273538,-2.150746,12.990104,-8.540289,7.399442,-2.696959,16.106536,6.13196,6.216796,-9.112593,c-CS-m
10.930146,-11.627775,-2.360008,0.989864,-1.291086,5.417593,-2.498101,8.683593,-14.97122,-1.797491,-0.125241,11.009455,4.781667,-3.9537,7.66699,0.255109,-14.684351,-7.396825,-6.920546,-11.060402,-1.7387,1.546527,7.291269,-2.355234,12.44594,-8.630083,7.366703,-2.518878,15.290546,6.226106,6.788837,-9.232458,c-CS-m
10.338312,-10.932902,-2.325309,1.215241,-1.042442,5.415558,-2.608863,8.754983,-14.809871,-2.063453,-0.197727,10.745924,4.408114,-4.276702,7.866228,0.079874,-13.758097,-7.019889,-6.872132,-10.234335,-1.578063,1.597507,7.083605,-2.712206,12.114071,-8.577384,7.267025,-2.455698,14.065801,6.210609,7.043418,-8.749148,c-CS-m
9.039828,-10.556067,-2.340129,-0.420516,-0.668951,3.314518,-2.556192,7.400724,-12.930934,-2.460248,-0.784557,10.511913,3.772904,-3.43191,7.768596,0.49017,-12.731368,-7.121271,-5.784745,-8.975581,-2.002481,1.400671,6.857409,-2.710569,11.142912,-9.420455,5.724068,-2.64251,13.114685,5.679317,5.959542,-6.876325,c-CS-m
9.013954,-10.386011,-2.562205,-0.2556,-0.854026,3.779326,-2.461499,7.651755,-13.269707,-2.47677,-0.783611,10.528714,3.754108,-3.756357,7.826611,0.149848,-13.04789,-6.756869,-6.104856,-9.08718,-1.714018,1.373222,6.626975,-2.4742,11.18065,-9.257311,5.986875,-2.506473,13.247246,5.836258,6.135106,-7.274033,c-CS-m
8.622293,-10.068323,-2.408304,-0.113969,-0.409902,3.669341,-2.496658,7.933238,-12.86457,-2.460823,-0.706921,10.538251,3.564962,-3.932573,8.042456,-0.053614,-12.445525,-6.761008,-6.019185,-8.410338,-1.680848,1.340857,6.577844,-2.789314,10.825148,-9.491346,5.830423,-2.308573,12.281186,5.989167,6.453138,-6.940085,c-CS-m
7.657942,-10.081648,-2.372799,-1.018434,-0.919996,2.828555,-2.502651,7.312447,-12.112888,-2.969275,-1.022759,10.346967,3.500398,-2.993574,7.77114,1.035032,-11.779075,-6.747493,-5.795075,-8.357043,-1.8243,1.221402,6.015231,-2.964227,10.043757,-8.945634,5.131169,-2.600771,11.946221,5.17654,5.380049,-6.393076,c-CS-m
7.819917,-9.914732,-2.317725,-0.947499,-0.618136,3.029592,-2.367987,7.437847,-12.415926,-3.055802,-0.946034,10.28127,3.408276,-3.2747,7.803952,0.590692,-11.880809,-6.621516,-5.918334,-8.304352,-1.52457,1.401707,6.118589,-2.983946,10.139531,-8.816993,5.281868,-2.584246,11.532926,5.447317,5.820576,-6.372326,c-CS-m
7.611011,-9.599505,-2.329705,-0.675148,-0.656944,3.301204,-2.430022,7.562575,-12.344113,-3.075436,-0.700453,10.195421,3.197553,-3.452351,7.804337,0.350874,-11.609963,-6.457349,-5.868756,-7.829566,-1.560573,1.352803,6.199521,-2.898021,10.049071,-8.836435,5.41666,-2.263449,11.033959,5.443339,5.890663,-6.464885,c-CS-m
13.73588,-13.133899,-3.816723,0.920384,-1.592054,8.27821,-1.752222,7.94624,-17.959039,-3.233098,-0.558488,11.855753,9.026749,-3.86605,5.581141,2.822767,-18.755341,-8.859166,-9.034926,-18.173761,-2.259249,2.235936,9.065983,2.672095,16.676062,-5.776783,11.959948,-5.037791,21.416862,3.06003,5.747016,-12.374647,c-CS-m
12.559648,-12.119236,-3.467375,0.848173,-1.234079,7.94496,-1.424736,7.57823,-16.862807,-3.272054,-0.866053,11.029984,8.143632,-3.923506,5.576741,2.674049,-17.438992,-7.582023,-8.730229,-16.491299,-2.186633,1.628315,8.51012,2.524533,15.659814,-5.414195,10.755298,-4.498734,19.317452,3.244523,5.771218,-11.372362,c-CS-m
