@relation mice-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-R78-80-weka.filters.unsupervised.attribute.RandomProjection-M-N32-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
6.235248,-11.936634,4.138922,-8.486195,-9.262514,-2.673095,7.615514,15.415328,2.852579,-1.364141,6.568299,9.809295,-6.609539,-10.891132,-3.998204,7.749334,-12.017615,14.448899,4.083445,-27.377251,4.777351,8.663569,16.323725,-0.262304,-2.351396,-2.6713,-6.266743,5.33842,8.731789,-18.778817,5.038449,8.117878,c-CS-m
5.966449,-11.144372,3.673484,-8.207596,-8.49612,-1.927973,7.591504,14.834551,2.593909,-0.966706,6.272617,9.267258,-5.977991,-10.896933,-3.833664,7.190815,-11.195396,13.583944,4.03655,-26.043407,5.027513,8.428703,16.001695,-0.1845,-2.020565,-2.537274,-6.129993,5.305751,8.420439,-17.856164,5.147561,7.522908,c-CS-m
5.90731,-11.227954,3.309343,-8.019679,-8.375325,-1.45197,8.116194,14.702002,2.661326,-0.93967,5.876332,8.918042,-6.022202,-10.782429,-3.539198,7.304548,-11.42363,14.107287,3.829104,-25.627117,5.300264,8.526025,16.038174,-0.255517,-1.734316,-2.262945,-6.483213,5.175356,8.582329,-17.549154,4.882456,7.646466,c-CS-m
5.804253,-9.187615,3.226208,-7.698141,-8.768725,-2.424102,7.086069,12.97641,3.263726,-2.089352,5.685292,9.237443,-6.584277,-9.367248,-3.502387,5.990888,-9.028327,12.177074,2.520413,-23.018205,5.388157,7.395883,14.77056,-0.391736,-1.605443,-2.352135,-6.491044,4.669616,7.523421,-16.434064,5.046126,6.893164,c-CS-m
5.546262,-8.913615,2.728777,-7.153037,-8.302688,-1.690229,7.180766,12.623418,3.436177,-2.040229,5.47476,9.041141,-6.359126,-9.064951,-3.178996,5.883609,-8.651351,12.197715,2.213455,-22.22305,5.754243,7.463322,14.589788,-0.493385,-1.319667,-2.24201,-6.731576,4.205141,7.249454,-15.700112,5.093996,6.728803,c-CS-m
5.608202,-9.217349,2.712132,-7.248096,-8.107924,-1.769657,7.511227,12.639066,2.939896,-1.893227,5.429224,8.823831,-6.420449,-9.134006,-3.230521,5.653663,-8.945107,12.023691,2.39293,-22.202366,5.796538,7.318072,14.519326,-0.101696,-1.534533,-2.032233,-6.552764,4.708002,7.586457,-15.6555,4.81317,6.693677,c-CS-m
5.952745,-8.207695,2.916517,-7.269116,-8.44805,-2.429407,6.299762,11.661815,3.210148,-2.821552,5.598522,9.033417,-6.523979,-8.816585,-3.307226,5.330546,-7.867581,10.799212,1.10734,-20.8252,5.032259,6.817711,14.224424,-0.984867,-1.455964,-2.046846,-6.364722,4.196842,7.139938,-15.454899,5.506269,6.343761,c-CS-m
5.519019,-8.066036,2.681667,-6.889326,-7.87152,-2.037841,6.811297,11.200035,2.964346,-2.826333,5.211159,8.816646,-5.845467,-8.498091,-2.969707,4.738356,-7.698765,10.510186,1.457342,-19.914012,5.47848,6.930815,14.120423,-0.319958,-1.299452,-2.119284,-6.522914,4.11158,6.931877,-14.888494,5.384108,6.602235,c-CS-m
5.218678,-7.416907,1.876022,-6.286232,-7.536117,-1.511847,6.636327,10.795383,3.182993,-2.503428,4.58102,8.584854,-5.760065,-8.120168,-2.666887,4.383334,-7.195443,10.460958,1.194046,-18.97678,5.752468,6.761313,13.552503,-0.256085,-1.107356,-1.998049,-6.806812,3.866119,6.691189,-13.757849,5.222918,5.873771,c-CS-m
5.36369,-6.555017,2.272109,-6.158083,-7.492485,-1.939372,5.835698,9.701695,3.07385,-3.904929,4.611436,8.599878,-6.261925,-8.044027,-2.319057,4.372365,-5.972319,9.342121,0.496172,-17.406577,5.354704,6.004816,13.202864,-1.216315,-1.302887,-1.811266,-6.6667,3.380994,6.638308,-13.566172,5.963203,5.460682,c-CS-m
5.32024,-6.539888,2.008112,-5.980307,-7.146665,-1.797711,6.303314,9.762654,3.154104,-3.400799,4.467286,8.534628,-6.245403,-8.064624,-2.396646,4.136184,-5.996951,9.323415,0.495306,-17.385749,5.474399,6.104277,13.241002,-1.120675,-0.921766,-1.747353,-6.644835,3.429802,6.669923,-13.197275,5.707227,5.865571,c-CS-m
5.120529,-6.275852,1.701963,-5.542644,-6.857279,-1.526493,6.410644,9.450145,3.074709,-3.567999,4.155888,8.423737,-5.84414,-7.745165,-2.177439,3.665014,-5.981987,9.064821,0.531095,-16.44562,5.85649,6.250343,13.230041,-0.768682,-0.960836,-1.616095,-6.998552,3.037851,6.876732,-12.603952,5.879516,5.425919,c-CS-m
5.053653,-5.780785,2.402455,-5.794332,-7.397107,-1.735494,5.160968,9.132167,3.489752,-3.802908,4.293766,8.333536,-5.992128,-8.257573,-2.591314,4.204337,-5.038475,8.342714,0.122619,-16.293156,4.814694,5.6251,12.307255,-1.564631,-1.504567,-1.884454,-6.366522,2.695345,6.379593,-12.758394,5.896854,5.010324,c-CS-m
4.989787,-5.752362,1.930289,-5.669013,-7.159338,-1.734526,5.546002,8.945547,3.08949,-3.8784,4.106353,8.120639,-5.710701,-7.958534,-2.368798,3.629861,-5.285289,8.245293,0.305232,-16.099821,5.077384,5.937396,12.60169,-1.180933,-1.025324,-1.729629,-6.591565,2.937473,6.471905,-12.528833,5.943735,5.177297,c-CS-m
4.810463,-5.446839,1.414431,-5.330877,-6.83245,-1.431614,5.644385,8.931675,3.268887,-3.552606,3.611232,8.03987,-5.731446,-7.758344,-2.335795,3.479441,-4.84978,8.273283,0.150886,-15.406949,5.25851,5.821838,12.27361,-1.137266,-0.818811,-1.610646,-6.649677,2.859838,6.296926,-11.870297,5.914392,4.75003,c-CS-m
5.743513,-11.686149,6.15504,-9.505183,-11.655496,-1.640257,5.162532,15.699324,2.714945,-1.28867,6.35919,7.252852,-5.756119,-13.17429,-4.366091,9.844483,-13.447272,12.508814,5.862853,-27.217334,4.036472,7.458219,14.085321,-0.656951,-2.893211,-3.750089,-6.175731,5.587468,9.814486,-22.084787,2.862609,6.54211,c-CS-m
5.225076,-10.644684,5.129481,-8.549075,-10.372785,-1.487634,5.180753,14.319692,2.364158,-1.494867,5.474197,6.804152,-5.604449,-12.167311,-4.148057,8.540346,-12.146401,11.839754,4.861603,-25.118563,4.171653,7.080987,13.35768,-0.590815,-2.548555,-3.114775,-6.065107,5.18952,9.115298,-19.713915,2.96344,6.098823,c-CS-m
5.024089,-10.84694,5.112841,-8.129872,-10.051926,-1.520845,5.505031,14.131678,1.988112,-1.832333,5.226567,6.813614,-5.346657,-11.820015,-4.058905,8.032666,-12.134273,11.903886,5.099128,-24.949331,4.411662,7.334518,13.266581,-0.271634,-2.55897,-3.104194,-6.201256,5.330033,9.024662,-19.318522,2.708418,6.406272,c-CS-m
5.584977,-10.083532,5.508069,-8.72665,-10.764079,-1.309323,4.967511,13.647305,2.489066,-2.776063,5.857475,7.233032,-6.496633,-11.13783,-3.850264,8.76139,-11.196482,11.461857,4.873676,-24.207104,4.391979,6.890238,13.251483,-1.014647,-2.742737,-3.210552,-6.064727,4.10381,9.258335,-19.736414,3.240168,5.905025,c-CS-m
4.628805,-8.693714,4.128511,-7.150824,-9.153935,-0.622063,4.629509,11.704494,1.98634,-2.642768,4.880384,6.490363,-5.601878,-9.617179,-3.333737,6.900435,-9.130525,9.958824,3.496612,-20.572428,4.488436,6.471153,11.891856,-0.422622,-2.220295,-2.710074,-5.830331,3.81977,7.879042,-16.549422,3.020194,5.290927,c-CS-m
5.083993,-9.352288,4.368741,-7.388163,-9.404191,-1.070785,5.179022,11.955737,1.774614,-2.73121,4.746453,6.692177,-5.813978,-10.125316,-3.599879,7.05718,-9.846939,10.580482,4.06089,-21.486442,4.705506,6.760366,12.415903,-0.548686,-2.181225,-2.900873,-6.024457,4.217057,8.46729,-17.322626,2.95214,5.659639,c-CS-m
5.410421,-8.896587,4.976864,-8.352476,-10.905221,-1.427664,4.469235,12.548836,2.94114,-3.117075,5.417874,7.210254,-7.153723,-10.600795,-3.265588,8.506271,-9.983873,10.837312,4.486264,-22.309145,4.261352,6.443115,12.569753,-1.75843,-2.260681,-3.065572,-6.224364,3.528028,8.893241,-18.743298,3.447974,5.456421,c-CS-m
5.095217,-8.847052,4.320547,-7.668272,-9.762824,-1.295782,4.836099,11.546062,2.400872,-2.979702,4.659069,6.586343,-6.68252,-10.154141,-3.251319,7.660937,-9.668413,10.610325,4.139231,-21.091692,4.38897,6.43062,12.338375,-1.419572,-2.500465,-2.678565,-5.966678,3.414827,8.64686,-17.485067,3.172509,5.419369,c-CS-m
4.793073,-8.336177,3.979026,-6.879739,-8.869287,-0.88848,4.801035,10.930488,2.211921,-2.682912,4.217852,6.457376,-6.066045,-9.546539,-3.152518,6.716129,-8.838822,9.76241,4.089225,-19.899009,4.482731,6.262566,11.651021,-1.430601,-2.059507,-2.467642,-5.956441,3.495117,7.948042,-15.984612,3.132154,5.275699,c-CS-m
5.230948,-7.255772,4.002794,-7.200863,-9.258588,-0.985551,3.592859,10.458102,2.398314,-3.462202,4.918054,6.868797,-6.82241,-9.773616,-2.558785,7.167493,-7.500743,8.874691,3.213924,-18.616825,4.350951,6.071643,11.480578,-1.797612,-2.318553,-2.319736,-5.456739,2.195477,8.44629,-15.964544,3.876877,4.751187,c-CS-m
6.139209,-8.059587,4.608871,-7.813972,-9.502039,-1.80871,5.409167,11.085214,2.544216,-3.544692,4.863263,7.382631,-8.463725,-10.958514,-3.150722,8.361967,-8.845429,9.965387,4.284784,-20.668484,4.68116,6.219493,12.661861,-2.788986,-2.150388,-2.311806,-5.868152,2.967256,9.596757,-17.306982,4.041141,5.847807,c-CS-m
4.761103,-6.934494,3.418848,-6.237948,-8.065901,-0.731606,4.728726,9.222523,2.021071,-3.18317,3.608118,6.49554,-6.983108,-9.128795,-2.651886,6.231966,-6.985089,8.635236,3.288224,-17.188486,4.849056,5.903943,10.864867,-1.63093,-1.780139,-2.242904,-5.73804,2.617141,8.123448,-14.551799,3.67021,4.77984,c-CS-m
4.743971,-5.372333,3.295736,-6.265275,-8.293995,-0.852453,2.85214,9.007589,2.734337,-3.55226,4.193144,6.051687,-7.258483,-9.045758,-1.96784,6.786786,-5.832283,7.546788,2.498286,-15.912848,3.733098,4.909635,9.909326,-2.743714,-1.899828,-2.034824,-5.279495,1.191641,7.788478,-13.627743,4.127158,3.670441,c-CS-m
4.957375,-5.507566,3.352178,-6.178876,-8.110676,-0.868551,3.122545,9.221057,2.571048,-3.821399,3.846965,6.0048,-7.39431,-9.181265,-2.246141,6.667259,-6.12704,7.508707,2.899877,-16.302698,4.010212,5.276892,10.104407,-2.865264,-1.474646,-2.104416,-5.019669,1.92319,7.780696,-13.637351,3.910203,4.300443,c-CS-m
4.73307,-5.717784,3.243563,-5.742005,-7.673238,-0.826902,3.612736,8.449212,2.310448,-3.789265,3.494582,5.806124,-6.888782,-9.036376,-1.87491,5.964242,-5.600233,7.325988,2.903151,-15.410664,4.144936,5.094545,9.838743,-2.39825,-1.358879,-2.122481,-5.161683,1.973478,7.445813,-13.173684,3.915964,4.227704,c-CS-m
5.875342,-15.885376,6.57857,-6.634505,-9.463098,-0.850828,5.876247,16.386075,1.825963,-1.674287,6.517143,9.639807,-2.817815,-15.748083,-0.516482,9.868159,-14.539482,13.481165,8.698222,-28.347189,4.956449,8.814474,14.764964,1.862595,-3.998032,-4.021924,-4.643975,4.532441,11.050145,-21.287254,2.804149,7.123946,c-CS-m
6.086735,-16.353923,7.366047,-6.867973,-10.070698,-1.059329,6.08101,16.858286,2.450008,-2.422403,6.685262,10.225107,-3.16127,-15.4585,-0.264855,10.33585,-15.251954,14.180541,9.579587,-29.154433,5.121297,8.893634,14.875604,1.901548,-3.973586,-4.452067,-4.886534,4.116169,11.364023,-22.459101,2.796576,7.574624,c-CS-m
6.390358,-16.103332,7.937272,-7.313941,-10.716623,-1.115252,5.714694,17.027528,2.598414,-2.656512,7.276179,10.921864,-3.250929,-15.541314,-0.356818,11.158046,-15.261195,13.685824,9.474496,-29.536481,4.813031,8.751698,15.159023,1.16826,-3.975725,-4.705175,-4.695839,3.51854,11.316858,-23.360024,3.263234,7.49647,c-CS-m
5.422984,-13.418955,5.28669,-6.64322,-10.176865,-1.176494,6.216386,15.54936,2.044393,-1.037294,5.936498,9.166184,-4.835612,-13.873642,-2.857364,8.139167,-12.249039,13.122673,6.872116,-26.704531,6.15028,8.215295,13.566998,1.929482,-3.69907,-3.599676,-5.789728,5.26347,9.751654,-19.367342,2.365909,6.128831,c-CS-m
5.812371,-13.525242,6.13615,-7.146234,-10.701471,-1.390716,6.73422,16.206848,2.194993,-1.507844,6.225836,9.900117,-5.372413,-14.031593,-3.216353,8.634183,-12.770232,13.168448,7.554928,-27.78144,6.248527,8.337552,14.160695,1.875068,-3.761994,-4.032639,-5.755283,5.117765,10.330363,-20.439341,2.735355,6.673242,c-CS-m
6.138326,-13.79403,6.672301,-7.372717,-11.482411,-1.605902,6.637754,16.974001,2.500835,-1.004099,6.49832,10.288519,-5.036348,-15.011712,-3.604247,9.410379,-13.392269,13.31734,8.317119,-28.781149,6.088827,8.227848,14.397378,1.573598,-3.577208,-4.360564,-5.799213,5.196431,10.512352,-21.817721,2.696548,6.615946,c-CS-m
5.191796,-11.559593,4.350574,-6.5229,-9.812274,-1.023268,6.428763,14.094633,2.125924,-1.493464,5.579104,8.92995,-6.11243,-11.855053,-3.546152,7.053334,-10.187776,12.315132,5.468017,-24.430757,6.736342,8.013477,12.903659,1.572683,-3.389914,-3.207469,-6.079232,4.641165,8.999109,-17.699458,2.746716,5.927959,c-CS-m
5.547347,-11.695457,4.912089,-6.86158,-10.550315,-1.940882,6.805768,14.414077,2.267059,-1.456359,5.679509,9.559701,-6.607259,-12.36875,-3.875103,7.744515,-11.089265,12.690724,6.418793,-25.675859,6.338149,7.993063,13.228954,1.391836,-3.494792,-3.643256,-5.999086,4.697067,9.425145,-18.856551,2.755809,6.22066,c-CS-m
5.8923,-12.049895,5.851612,-7.244415,-11.433499,-1.987778,6.677913,15.868854,2.456902,-1.349091,6.134023,10.250902,-6.625818,-13.405521,-4.646204,8.3552,-11.516977,12.67782,7.079491,-27.154692,6.457647,7.996752,13.535497,1.262899,-3.589183,-4.013364,-6.097991,5.040195,9.927376,-20.063784,2.771856,6.404869,c-CS-m
5.579078,-11.452973,4.235514,-6.602692,-10.14153,-1.64912,6.887618,13.288244,2.542318,-1.908507,5.469236,9.101899,-7.349793,-11.391392,-3.74759,7.256356,-9.971879,12.714192,5.367766,-24.083768,6.971153,7.829682,12.975749,0.9247,-3.464876,-3.129844,-6.443478,4.306538,9.169654,-17.956832,2.869641,5.887691,c-CS-m
5.733584,-11.255245,4.316262,-6.868479,-10.985082,-1.958613,6.681168,13.510478,2.72069,-1.689664,5.495265,9.562327,-7.49789,-11.858749,-4.045671,7.576877,-10.194685,12.853119,5.57703,-24.856718,6.691879,7.884283,13.143759,0.933153,-3.413995,-3.320364,-6.676413,4.272077,9.375279,-18.593739,2.889073,5.504587,c-CS-m
