@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomProjection-N9-R5-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute quality {3,4,5,6,7,8,9}

@data
299.177136,356.369454,248.218469,-5.11821,-62.682919,-81.761458,-114.983925,-12.28024,331.081512,6
233.826859,235.57623,214.836654,-5.630897,-43.716962,-30.555108,-28.237624,-10.981202,232.250693,6
173.17044,201.714637,143.941909,-5.559883,-63.358419,-56.101126,-65.030021,-14.237458,180.722181,6
327.288321,385.727715,295.339604,-5.424783,-89.512386,-86.675287,-97.399452,-12.62665,337.576702,6
327.288321,385.727715,295.339604,-5.424783,-89.512386,-86.675287,-97.399452,-12.62665,337.576702,6
173.17044,201.714637,143.941909,-5.559883,-63.358419,-56.101126,-65.030021,-14.237458,180.722181,6
240.512575,270.078682,211.682763,-5.429979,-61.69565,-58.586619,-65.609911,-10.461587,248.497329,6
299.177136,356.369454,248.218469,-5.11821,-62.682919,-81.761458,-114.983925,-12.28024,331.081512,6
233.826859,235.57623,214.836654,-5.630897,-43.716962,-30.555108,-28.237624,-10.981202,232.250693,6
228.630707,252.099995,207.164015,-5.500993,-70.89284,-54.223583,-52.148239,-14.393342,226.812053,6
113.830379,106.417202,90.965923,-5.121674,-42.747014,-26.720348,-22.627165,-14.272099,112.600623,5
193.833806,200.519522,170.044608,-5.378018,-44.704231,-32.207485,-37.81015,-15.190086,196.986138,5
135.099963,137.819283,114.640979,-5.43864,-50.177512,-33.75767,-30.937892,-14.012291,133.073464,5
253.537597,308.443608,229.615897,-6.05525,-108.564945,-94.00879,-86.836714,-11.847228,251.182008,7
302.346789,350.965455,253.433328,-5.092229,-59.980919,-74.530146,-105.083869,-14.722432,332.415191,5
199.324407,221.789106,177.169052,-5.573739,-71.637621,-57.708469,-52.2099,-11.795266,197.540395,7
176.25349,206.183328,157.525171,-5.53217,-71.533698,-58.221156,-55.596752,-10.149818,174.001824,6
134.528386,157.287534,111.216368,-5.7175,-75.777223,-62.286279,-53.240124,-10.426946,132.657771,8
300.995789,305.135391,280.03503,-5.346841,-52.654345,-37.060691,-32.397491,-12.95574,299.003931,6
235.403025,271.931977,205.879353,-5.500993,-67.636584,-64.875695,-73.438088,-10.963882,244.219164,5
134.528386,157.287534,111.216368,-5.7175,-75.777223,-62.286279,-53.240124,-10.426946,132.657771,8
181.622848,189.919371,157.631866,-5.424783,-52.550422,-41.416799,-39.05636,-11.206369,182.298347,7
216.870082,263.306364,196.028314,-5.925346,-92.543475,-78.169185,-75.035905,-12.055074,215.086069,8
295.106817,317.294387,276.965836,-5.154583,-61.176035,-47.000931,-47.50617,-12.245599,294.465958,5
251.407175,255.529456,232.103295,-5.833547,-48.947756,-34.325783,-31.067969,-11.674022,249.016945,6
429.5486,502.467939,396.075852,-5.549491,-105.170125,-103.670169,-113.832977,-12.245599,440.806931,6
258.439301,295.418586,239.450828,-5.885509,-82.376336,-66.663171,-63.557604,-12.141676,255.373571,6
249.588521,280.540269,216.686311,-5.765997,-64.588175,-62.317456,-71.632598,-12.314881,260.205993,6
233.688295,237.135076,212.121838,-5.443836,-53.52037,-37.486776,-32.317297,-13.180907,231.384667,6
202.268893,239.005691,178.192348,-5.3122,-87.364643,-74.091937,-68.69937,-12.540048,202.14765,7
251.078085,262.353736,216.02588,-5.466352,-39.750566,-38.080869,-53.782602,-14.982239,264.88253,6
