@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomProjection-N9-R20-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute quality {3,4,5,6,7,8,9}

@data
37.282394,114.263392,265.369236,307.352416,-284.136007,15.164105,14.852336,-273.310689,1.383909,6
16.196407,27.539608,233.227569,240.391332,-219.615382,16.279546,16.019738,-239.426579,3.820904,6
34.76226,64.397649,163.219981,182.800642,-155.68556,17.511034,17.095341,-172.659658,1.740538,6
61.456627,96.527192,314.532806,335.325036,-311.453219,17.109198,16.84939,-322.427493,2.952107,6
61.456627,96.527192,314.532806,335.325036,-311.453219,17.109198,16.84939,-322.427493,2.952107,6
34.76226,64.397649,163.219981,182.800642,-155.68556,17.511034,17.095341,-172.659658,1.740538,6
34.805561,64.640136,230.942821,247.111689,-227.002406,16.168694,16.151374,-236.788493,4.165755,6
37.282394,114.263392,265.369236,307.352416,-284.136007,15.164105,14.852336,-273.310689,1.383909,6
16.196407,27.539608,233.227569,240.391332,-219.615382,16.279546,16.019738,-239.426579,3.820904,6
40.626984,51.47655,227.771263,238.243589,-211.084686,19.094128,18.747718,-237.443035,3.301635,6
11.772749,22.031686,113.260188,124.118761,-97.008355,20.58196,20.374114,-123.380561,5.038882,5
17.069361,37.117849,188.385986,204.607162,-175.785317,16.636348,16.463143,-199.116041,0.182385,5
20.368917,30.103043,134.722376,144.678204,-118.319855,18.325098,18.463662,-144.387219,3.304753,5
74.609821,86.013643,252.517766,260.015467,-238.100175,21.345794,21.276512,-259.21041,8.329086,7
33.168773,105.083522,271.118259,313.449235,-285.286435,16.783572,16.142714,-281.908936,0.692474,5
40.509204,51.389947,198.374204,206.373854,-184.514333,19.506356,19.506356,-205.548358,6.596689,7
45.196134,54.698165,177.661301,183.008488,-162.755272,16.153106,15.875978,-182.902487,3.996188,6
43.476207,53.451088,135.618193,141.318025,-120.672326,22.376364,21.077326,-141.003139,9.718191,8
22.667349,31.939017,301.258541,309.915851,-285.214555,19.438806,19.040435,-309.785428,5.037323,6
40.782868,72.417044,224.968285,242.487113,-221.376012,15.907155,15.993757,-231.297199,3.471896,5
43.476207,53.451088,135.618193,141.318025,-120.672326,22.376364,21.077326,-141.003139,9.718191,8
22.866535,38.468848,178.732401,188.360525,-167.183087,19.170338,18.581441,-185.120205,6.250625,7
62.424843,74.408903,215.818727,223.919528,-201.271232,18.167481,17.821071,-222.779839,4.688662,8
36.452741,47.05982,296.30834,305.031468,-280.054775,15.595385,15.07577,-304.282702,1.223347,5
19.91512,30.432133,251.104239,258.196814,-236.2571,17.306652,16.942921,-257.758778,4.165409,6
76.130561,113.016315,415.996169,437.342829,-414.184444,17.781234,17.65999,-423.558303,4.164716,6
53.239778,62.769521,258.652343,265.592671,-242.714012,17.25469,16.994883,-265.670613,3.649431,6
34.899092,70.979442,236.539424,257.261506,-233.974257,18.032381,17.789894,-244.006295,4.336882,6
22.400613,31.817773,233.604117,242.296587,-217.4666,20.155875,19.705542,-242.189893,5.557458,6
55.749519,68.104238,201.005535,211.154314,-187.247856,20.755165,20.807126,-209.46314,7.11769,7
11.424607,53.070037,234.948189,261.591633,-233.122607,17.154231,16.981026,-245.382063,0.870529,6
4.378624,14.272099,86.885557,96.47523,-68.782162,17.635741,17.497177,-96.363339,1.570277,6
44.964039,57.677292,176.707287,186.784359,-162.158061,18.654187,18.359739,-185.038452,4.170778,6
66.086399,77.284107,207.315916,214.272005,-193.849221,15.371951,15.458553,-213.473357,3.128257,6
6.76539,64.466931,291.826659,320.723848,-301.934907,17.44868,17.275475,-296.631368,5.895555,5
28.249749,39.802528,217.078794,226.413682,-201.95799,22.326135,21.82384,-225.323356,7.810683,5
28.923516,53.329844,256.332088,269.940118,-248.657371,17.200997,16.733343,-262.395998,4.341559,5
58.797929,68.467968,244.09896,251.632341,-228.453345,19.56005,18.919191,-251.361449,5.558844,6
41.609057,109.448291,234.017211,271.34308,-247.012789,15.046325,14.578672,-242.083372,0.519788,5
41.609057,109.448291,234.017211,271.34308,-247.012789,15.046325,14.578672,-242.083372,0.519788,5
99.502855,113.8477,276.164589,285.892306,-263.430552,16.631152,16.180819,-283.581231,2.955398,6
98.842943,114.55784,273.739718,284.125614,-261.662128,16.667525,16.16523,-281.123451,2.955398,6
30.676352,61.851534,271.542958,290.049228,-266.954756,16.747199,16.556674,-279.075647,3.125659,6
49.472567,59.99824,268.092713,275.673207,-253.964375,16.050915,16.137517,-275.067682,3.302328,6
49.41541,59.980919,271.591456,279.310513,-257.267395,16.03879,16.160034,-278.710184,3.129123,6
58.131089,68.554571,293.795827,302.987648,-278.436001,17.039916,17.109198,-302.383335,2.783232,7
96.504675,117.519647,356.895997,368.441848,-348.126624,16.632884,16.303794,-362.651602,4.513724,4
94.819389,115.804917,358.627875,370.173899,-349.870626,16.62076,16.29167,-364.388676,4.513898,5
30.676352,61.851534,271.542958,290.049228,-266.954756,16.747199,16.556674,-279.075647,3.125659,6
41.158723,64.41497,258.41332,272.590156,-249.68898,16.864979,16.761056,-265.76934,3.299557,5
45.341626,56.793946,304.185707,312.877658,-289.009478,20.147215,20.043292,-311.931439,6.076554,6
60.174909,69.88825,220.301967,227.210425,-205.444435,18.668044,18.737326,-227.140104,5.903868,7
28.895804,38.555451,147.295333,153.563625,-133.132353,18.752914,18.700953,-153.473558,6.424176,7
60.318669,69.593801,192.484712,198.75283,-177.615055,18.957296,18.645527,-198.815357,6.077593,6
59.068129,67.723187,233.399042,241.066831,-217.954345,16.380004,15.669864,-241.482524,2.26379,6
42.921951,52.914152,335.534268,343.673521,-320.813568,18.82566,18.687096,-343.205521,5.385292,6
38.411691,85.061015,355.167757,382.263613,-358.384175,16.425038,16.338435,-363.452156,2.431453,6
59.655294,108.40906,240.455764,265.627312,-246.036432,15.325186,15.169301,-245.960221,3.295746,6
30.529128,51.926883,134.637679,147.189678,-125.710689,17.344757,17.084949,-141.018554,4.515283,6
68.592676,78.635107,197.440975,205.663713,-181.059238,17.247762,16.866711,-205.370303,2.610893,6
38.448064,60.829624,211.492237,225.616938,-203.20957,14.673934,14.673934,-219.012802,1.394128,6
59.655294,108.40906,240.455764,265.627312,-246.036432,15.325186,15.169301,-245.960221,3.295746,6
23.062257,32.164183,267.274492,274.252925,-251.538811,17.779502,17.433091,-274.124753,4.345715,5
30.529128,51.926883,134.637679,147.189678,-125.710689,17.344757,17.084949,-141.018554,4.515283,6
46.162618,56.534138,216.008733,224.577708,-200.822111,17.576852,17.490249,-223.938061,3.649951,6
43.069175,52.914152,213.619715,219.520119,-199.600496,14.989168,15.266296,-219.273129,3.302328,5
30.484094,58.30083,211.01627,226.70813,-205.768156,21.46011,21.442789,-217.407537,9.023465,7
133.141014,142.807589,306.66306,313.709042,-291.921575,16.542817,16.612099,-313.41979,3.651163,5
42.875186,55.997203,169.98797,178.99013,-156.883273,18.041041,18.214246,-177.151732,5.20897,8
13.787124,54.282472,171.431807,195.288729,-170.790948,16.437162,16.125393,-179.607087,1.911838,5
64.629744,97.116089,415.92706,434.242458,-413.647681,15.546888,15.217798,-422.553886,3.125312,6
74.164684,95.955615,412.723112,425.911294,-403.576152,15.919279,16.040523,-419.774291,2.951761,5
39.346998,62.475073,347.928131,359.764273,-340.111386,16.684845,16.961974,-353.285364,5.202388,5
9.051698,17.71888,129.408617,140.452,-111.492284,15.803232,15.456821,-140.535312,-0.855806,6
42.875186,55.997203,169.98797,178.99013,-156.883273,18.041041,18.214246,-177.151732,5.20897,8
13.787124,54.282472,171.431807,195.288729,-170.790948,16.437162,16.125393,-179.607087,1.911838,5
45.859509,56.430215,155.31265,163.62684,-140.048086,22.054203,21.759754,-162.990831,7.985101,7
27.137772,37.446938,124.675096,132.761694,-109.568148,20.32042,20.3031,-132.299583,6.943445,7
24.899962,60.587137,169.768865,192.188358,-167.648835,15.768591,15.907155,-178.782458,1.565601,5
22.187571,46.661449,180.349617,194.110934,-172.035773,15.536496,14.757073,-186.585,2.2605,5
50.882457,61.69565,202.464442,210.565417,-188.100544,17.654794,18.070486,-209.952097,4.86204,6
55.321703,116.393814,266.85447,300.857225,-277.316057,15.571137,15.67506,-274.960468,1.907854,6
65.830055,92.560795,280.946608,297.081355,-273.753401,17.048576,16.84073,-288.347662,3.30025,5
53.075233,87.330002,351.687028,371.975231,-347.81243,16.258761,16.154838,-359.579983,2.08435,6
68.372706,114.713725,254.832132,281.544859,-257.542791,15.423912,14.402002,-262.912149,1.043734,5
64.910336,111.266944,249.653473,276.366027,-252.348544,15.42218,14.38295,-257.731758,1.043561,6
71.457488,114.990853,257.811259,283.432794,-259.051408,15.474142,14.469552,-266.183993,0.870529,6
91.244437,142.980794,334.038469,362.483593,-340.031365,16.593047,16.454483,-341.261121,3.295746,6
68.372706,114.713725,254.832132,281.544859,-257.542791,15.423912,14.402002,-262.912149,1.043734,5
64.910336,111.266944,249.653473,276.366027,-252.348544,15.42218,14.38295,-257.731758,1.043561,6
71.457488,114.990853,257.811259,283.432794,-259.051408,15.474142,14.469552,-266.183993,0.870529,6
94.571706,126.041337,414.749439,432.26792,-412.031851,15.604046,15.205674,-421.087012,3.298344,5
73.170486,84.766567,239.819755,248.202881,-225.383111,21.763218,21.46877,-247.033746,8.157959,7
74.696423,86.619861,239.577094,248.220201,-225.401991,21.744166,21.518999,-246.875957,8.158133,7
80.055388,91.573526,260.41661,270.096003,-245.209204,19.78002,19.693418,-268.9383,5.210702,7
81.018409,129.314913,401.154918,428.717216,-405.270271,15.785911,15.560744,-409.042678,1.910625,6
12.564297,73.161826,263.129521,295.314663,-275.035639,15.59885,14.732824,-269.583143,3.121329,6
19.192855,28.518217,143.147591,154.08324,-125.32652,19.804269,19.345275,-153.780651,3.13276,7
-15.706237,25.738275,132.130535,161.25393,-128.167603,17.836659,16.935993,-144.857644,-1.204815,4
12.564297,73.161826,263.129521,295.314663,-275.035639,15.59885,14.732824,-269.583143,3.121329,6
61.816893,113.882341,315.887096,346.133033,-321.48162,15.744342,15.432573,-324.581991,1.216766,5
88.448907,127.686786,271.232575,293.599932,-270.082493,16.218924,16.166962,-278.791244,2.258248,5
68.797058,116.58434,270.55846,295.124137,-275.564087,16.108073,16.004149,-275.97978,4.162118,5
38.721728,109.474271,268.459215,308.235762,-283.192039,15.586725,15.162373,-277.334243,0.866025,5
61.816893,113.882341,315.887096,346.133033,-321.48162,15.744342,15.432573,-324.581991,1.216766,5
28.542465,84.056426,170.793027,202.043727,-177.840742,15.97124,15.798035,-178.918077,1.563349,6
88.448907,127.686786,271.232575,293.599932,-270.082493,16.218924,16.166962,-278.791244,2.258248,5
70.200019,132.900258,274.597603,309.500159,-285.959856,15.415252,15.432573,-282.720921,1.733783,6
70.200019,132.900258,274.597603,309.500159,-285.959856,15.415252,15.432573,-282.720921,1.733783,6
56.65365,66.909123,329.11165,336.883882,-314.127679,17.374202,17.356881,-336.439957,4.169566,5
91.275613,125.868132,273.691567,294.258112,-272.389065,15.643883,15.089627,-281.402657,2.258767,6
40.578486,110.885893,415.865399,455.044388,-430.948097,15.401396,15.037665,-424.390553,1.212436,5
89.969647,141.352666,321.326948,351.034737,-326.859118,16.083824,15.494927,-329.824389,1.735168,5
29.342673,66.874482,251.297709,272.295707,-250.138967,15.552084,15.136392,-258.172219,2.430414,5
29.342673,66.874482,251.297709,272.295707,-250.138967,15.552084,15.136392,-258.172219,2.430414,5
5.698447,17.294527,184.652205,188.620333,-171.176849,16.220656,16.073431,-187.856499,5.552955,4
32.318336,49.553974,249.538985,258.837673,-239.283512,19.296778,19.106252,-254.910074,7.462714,6
19.42495,30.899786,151.071377,160.076136,-136.790618,20.46418,20.256334,-158.908907,6.597208,6
89.969647,141.352666,321.326948,351.034737,-326.859118,16.083824,15.494927,-329.824389,1.735168,5
70.875519,122.317428,323.162922,352.991955,-328.497638,16.004149,15.484534,-331.788535,1.561963,5
21.467038,46.869295,148.66781,161.790866,-142.924329,16.932529,17.123054,-153.71847,5.727199,5
46.723803,94.292846,224.69618,253.468315,-227.529815,14.954527,14.919886,-234.160106,0.002771,5
36.305517,65.835251,222.196484,240.304729,-215.754987,16.851122,16.625956,-230.266109,2.25998,5
10.118641,33.238055,251.485463,265.454107,-242.690109,15.723557,15.533032,-258.618049,2.086775,6
61.016686,72.27848,277.583312,285.372691,-263.948608,17.323972,16.90828,-284.480338,4.169393,6
101.834195,111.353546,252.864176,260.11939,-237.958147,18.889746,18.768503,-259.975976,5.73101,6
33.28482,63.029329,213.551472,231.783039,-207.414816,17.914602,17.568191,-221.4375,3.647699,5
64.349152,96.717717,346.004515,363.799952,-342.387993,16.48566,16.451019,-352.42696,3.817786,7
71.284283,86.775745,312.171674,321.589873,-301.131582,18.938244,18.435949,-318.535229,6.594957,7
69.704653,84.87049,321.022454,330.250127,-309.788372,18.941708,18.439413,-327.372152,6.594957,6
-11.344933,30.588017,88.324199,109.240444,-90.74907,18.186533,17.944046,-92.983416,6.76539,5
64.349152,96.717717,346.004515,363.799952,-342.387993,16.48566,16.451019,-352.42696,3.817786,7
74.576912,125.616985,402.100618,429.669844,-408.122959,15.359827,14.918154,-408.77421,2.601714,5
47.05116,107.456432,305.547965,337.940433,-316.27802,15.579797,15.579797,-312.363585,2.774399,5
76.116705,109.76006,344.913843,364.284926,-342.01439,14.954527,15.006488,-352.0395,1.912011,5
43.775852,103.871087,290.149514,322.611783,-300.531427,16.257029,16.222388,-297.209353,3.294534,5
55.222976,64.830662,214.327431,224.439144,-197.012119,18.61435,18.181337,-224.125642,2.611933,6
61.773592,103.697882,256.962728,281.527538,-257.421721,15.545156,14.505926,-265.146668,1.043561,5
43.483136,55.58151,169.865167,178.99013,-156.467754,18.455001,18.437681,-177.47753,5.210528,7
22.726239,34.952785,140.66383,151.762292,-124.696053,20.263262,20.003455,-150.240339,4.689874,6
25.57373,38.988464,136.940613,145.024614,-124.253341,17.588976,17.207925,-143.011451,5.035591,5
61.773592,103.697882,256.962728,281.527538,-257.421721,15.545156,14.505926,-265.146668,1.043561,5
58.475767,68.260122,190.199963,199.947945,-173.539367,18.531212,18.409968,-199.655229,3.304753,6
28.914856,49.380769,170.909594,187.113449,-158.618961,16.655401,16.499516,-181.450855,0.35559,6
24.323189,36.719477,154.000275,165.653339,-138.555578,19.220568,19.116645,-163.971691,3.65099,6
57.356862,66.432809,202.261099,209.041212,-188.222827,18.913995,18.506963,-208.920834,6.251837,6
83.893613,94.500692,295.768114,301.324879,-283.099894,17.396718,17.292795,-300.694066,6.076381,6
12.049877,36.017997,167.368243,179.717592,-158.927959,15.307865,14.658346,-172.53495,2.779768,4
19.617207,41.465296,138.185958,150.480574,-129.743942,20.410487,20.254602,-144.289705,8.155015,7
27.89641,47.37159,200.630373,213.527224,-190.733435,16.236244,15.941796,-208.241004,2.608469,6
60.720505,93.911795,256.262806,277.50918,-251.130739,20.096986,19.612011,-265.447871,4.514764,7
77.569895,118.437634,222.840114,247.735227,-222.242557,17.294527,16.930797,-231.89008,2.257209,6
27.89641,47.37159,200.630373,213.527224,-190.733435,16.236244,15.941796,-208.241004,2.608469,6
63.725613,73.404313,172.688756,181.259117,-157.242327,18.027185,17.784698,-180.981816,3.824541,5
2.807654,34.173362,125.377269,147.293601,-119.836438,16.123661,16.487392,-136.114252,0.871914,6
54.185477,107.802842,325.11962,356.490697,-331.742982,15.529568,15.113875,-334.084715,0.869663,6
54.185477,107.802842,325.11962,356.490697,-331.742982,15.529568,15.113875,-334.084715,0.869663,6
58.01331,68.970263,219.727619,226.067271,-206.172589,21.228015,20.985528,-225.245933,9.197536,7
66.933371,77.665158,211.915377,215.692287,-199.261014,20.517874,20.258066,-215.043461,10.23746,8
66.933371,77.665158,211.915377,215.692287,-199.261014,20.517874,20.258066,-215.043461,10.23746,8
58.01331,68.970263,219.727619,226.067271,-206.172589,21.228015,20.985528,-225.245933,9.197536,7
16.774912,72.26116,256.582543,287.174024,-265.667149,16.134053,15.475874,-263.883137,2.94795,5
10.792409,33.186093,146.415797,158.811739,-138.103686,18.288724,17.821071,-152.303038,5.727546,5
54.185477,107.802842,325.11962,356.490697,-331.742982,15.529568,15.113875,-334.084715,0.869663,6
83.034516,133.956809,339.372839,367.541181,-345.365735,16.281278,16.125393,-346.664773,3.122888,5
97.027754,147.62269,291.031647,319.546053,-296.31267,16.837266,16.664061,-298.844929,3.122541,5
47.427015,83.086477,332.982264,356.785146,-328.534358,16.48566,16.243172,-343.52699,0.350913,6
34.547485,48.254935,173.117785,182.107822,-160.24172,21.432397,21.085987,-179.723827,8.505062,7
14.211477,50.645166,253.064401,275.46536,-250.578908,15.804964,15.701041,-261.785277,1.391183,5
-12.702861,26.448416,180.056727,208.001981,-174.888288,17.708487,16.651936,-192.724947,-1.378366,5
42.632699,53.347165,234.607321,243.595626,-219.805215,21.972797,21.591745,-242.827634,7.983715,6
21.676616,32.37203,170.367462,180.635579,-154.129486,19.234424,18.801412,-179.83312,3.651683,6
1.061747,9.145228,178.973156,187.044167,-161.727126,19.774824,18.978081,-187.437689,4.866716,4
40.325607,61.955457,224.442261,236.650102,-215.73351,20.157607,19.603351,-230.552937,7.288816,7
21.527659,88.28263,276.000564,313.743683,-288.86797,17.183676,17.287599,-284.905037,2.946218,5
68.554571,99.991293,255.360927,273.958476,-251.01348,20.039828,19.41629,-262.756784,6.074822,6
